suburb,category,total_units,total_revenue,transaction_count,brands
Manyatta B,beverages,410,33114.96,39,"Coca-Cola, EABL, Kevian"
Milimani,personal_care,399,51868.71,42,"Colgate, Unilever"
Wadhare,personal_care,393,51793.94,42,"Colgate, Unilever"
Nyalenda A,beverages,390,27126.82,33,"Coca-Cola, EABL, Kevian"
West Kajulu location,beverages,388,28472.23,45,"Coca-Cola, EABL, Kevian"
Industrial Area,soap,357,33664.86,64,"Bidco, Reckitt, Unilever"
West Kajulu location,sugar,356,81048.21,36,"Mumias, Nzoia"
Industrial Area,sugar,353,80855.75,48,"Mumias, Nzoia"
Manyatta B,sugar,349,73508.25,31,"Mumias, Nzoia"
Celtel Estate,soap,349,30030.24,15,"Bidco, Reckitt, Unilever"
Kogony' B,flour,348,69095.48,30,"Kabras, Unga"
Brilliant,cooking_oil,344,71068.58,21,"Bidco, Kapa"
Celtel Estate,beverages,344,25510.04,13,"Coca-Cola, EABL, Kevian"
Nyalenda A,sugar,337,73639.84,25,"Mumias, Nzoia"
West Kajulu location,soap,335,30916.79,43,"Bidco, Reckitt, Unilever"
Celtel Estate,cooking_oil,327,60813.84,12,"Bidco, Kapa"
Kasule sublocation,cooking_oil,322,69377.20999999999,20,"Bidco, Kapa"
Kasule,flour,316,65308.42,23,"Kabras, Unga"
Manyatta B,soap,311,28054.75,42,"Bidco, Reckitt, Unilever"
Nyalenda A,soap,310,27266.81,35,"Bidco, Reckitt, Unilever"
Celtel Estate,sugar,308,67241.67,11,"Mumias, Nzoia"
Kasule sublocation,beverages,291,24425.62,18,"Coca-Cola, EABL, Kevian"
Brilliant,beverages,291,24374.84,22,"Coca-Cola, EABL, Kevian"
Kasule,cooking_oil,288,56565.21,22,"Bidco, Kapa"
Northern sublocation,sanitary,287,56059.34,31,"Kimberly-Clark, P&G"
Kochieng sublocation,flour,282,57092.03,8,"Kabras, Unga"
Nyalenda B,flour,271,55395.8,14,"Kabras, Unga"
Kasule sublocation,soap,263,24509.79,21,"Bidco, Reckitt, Unilever"
Nanga,flour,254,54525.44,14,"Kabras, Unga"
Buoye,cooking_oil,246,49470.34,7,"Bidco, Kapa"
Buoye,flour,242,49896.35,7,"Kabras, Unga"
Kogony' B,cooking_oil,241,46708.17,27,"Bidco, Kapa"
Lolwe,sanitary,241,44570.12,38,"Kimberly-Clark, P&G"
Industrial Area,personal_care,240,31202.37,50,"Colgate, Unilever"
Nyalenda B,cooking_oil,239,47634.57,15,"Bidco, Kapa"
Manyatta B,personal_care,237,30682.16,35,"Colgate, Unilever"
Brilliant,soap,233,20533.34,19,"Bidco, Reckitt, Unilever"
Nyalunya sublocation,flour,228,47959.06,15,"Kabras, Unga"
Brilliant,sugar,223,48535.72,17,"Mumias, Nzoia"
Kasule sublocation,sugar,222,49343.71,15,"Mumias, Nzoia"
Wadhare,sanitary,212,39261.31,30,"Kimberly-Clark, P&G"
Milimani,sanitary,210,36697.74,28,"Kimberly-Clark, P&G"
West Kajulu location,personal_care,204,25868.05,35,"Colgate, Unilever"
Nyalenda A,personal_care,197,25799.81,23,"Colgate, Unilever"
Kochieng sublocation,beverages,192,14104.14,7,"Coca-Cola, EABL, Kevian"
Kasule,sugar,189,42131.52,16,"Mumias, Nzoia"
Kogony' B,beverages,189,14376.18,29,"Coca-Cola, EABL, Kevian"
Kasule,beverages,188,15976.04,20,"Coca-Cola, EABL, Kevian"
Celtel Estate,personal_care,187,25114.86,11,"Colgate, Unilever"
Kasule,soap,182,17476.07,21,"Bidco, Reckitt, Unilever"
Kochieng sublocation,cooking_oil,181,33411.75,6,"Bidco, Kapa"
Buoye,beverages,181,11962.48,7,"Coca-Cola, EABL, Kevian"
Nyalunya sublocation,cooking_oil,179,34868.48,13,"Bidco, Kapa"
Kochieng sublocation,soap,177,15725.16,9,"Bidco, Reckitt, Unilever"
Nanga,cooking_oil,177,34749.96,15,"Bidco, Kapa"
Nyalenda B,beverages,171,14919.970000000001,14,"Coca-Cola, EABL, Kevian"
Brilliant,personal_care,170,22101.38,17,"Colgate, Unilever"
Gonda,flour,168,32970.28,8,"Kabras, Unga"
Buoye,soap,161,13256.62,6,"Bidco, Reckitt, Unilever"
Nyalenda B,soap,161,15072.41,14,"Bidco, Reckitt, Unilever"
Nanga,beverages,160,11813.21,13,"Coca-Cola, EABL, Kevian"
k.b.c.,flour,157,31720.769999999997,8,"Kabras, Unga"
Buoye,sugar,151,35693.81,6,"Mumias, Nzoia"
Kogony' B,sugar,150,30995.48,18,"Mumias, Nzoia"
Kogony' B,soap,141,13249.07,24,"Bidco, Reckitt, Unilever"
Kochieng sublocation,sugar,141,36347.66,4,"Mumias, Nzoia"
Kanyakwar sublocation,cooking_oil,133,27751.13,14,"Bidco, Kapa"
Nyalenda B,personal_care,129,17221.97,12,"Colgate, Unilever"
Nyalunya sublocation,beverages,125,9839.31,12,"Coca-Cola, EABL, Kevian"
Kanyakwar sublocation,flour,124,26949.7,12,"Kabras, Unga"
Kasule sublocation,personal_care,122,15800.91,13,"Colgate, Unilever"
Nyangienda,flour,120,27492.84,8,"Kabras, Unga"
Buoye,personal_care,120,15855.2,6,"Colgate, Unilever"
Gonda,cooking_oil,115,22561.96,8,"Bidco, Kapa"
Nyalenda B,sugar,113,24554.72,6,"Mumias, Nzoia"
West Kajulu location,sanitary,113,20321.68,21,"Kimberly-Clark, P&G"
Nyalunya sublocation,soap,112,9678.55,13,"Bidco, Reckitt, Unilever"
k.b.c.,beverages,108,7454.09,9,"Coca-Cola, EABL, Kevian"
Kogony' B,personal_care,107,13692.85,19,"Colgate, Unilever"
k.b.c.,cooking_oil,107,22156.44,7,"Bidco, Kapa"
Nanga,sugar,106,22098.68,10,"Mumias, Nzoia"
Nyalenda A,sanitary,105,17415.48,15,"Kimberly-Clark, P&G"
Manyatta B,sanitary,103,18040.53,18,"Kimberly-Clark, P&G"
Industrial Area,sanitary,102,18159.76,32,"Kimberly-Clark, P&G"
Kasule sublocation,sanitary,102,18056.579999999998,9,"Kimberly-Clark, P&G"
Nanga,personal_care,101,13269.42,13,"Colgate, Unilever"
Polyview,cooking_oil,100,18822.56,7,"Bidco, Kapa"
Celtel Estate,sanitary,99,19800.300000000003,7,"Kimberly-Clark, P&G"
Bandari,flour,98,20807.88,16,"Kabras, Unga"
Kochieng sublocation,personal_care,97,12169.92,5,"Colgate, Unilever"
Nyamasaria,flour,96,20008.08,6,"Kabras, Unga"
Kanyakwar sublocation,sugar,95,21246.86,11,"Mumias, Nzoia"
k.b.c.,sugar,94,23262.989999999998,5,"Mumias, Nzoia"
Kasule,personal_care,94,11432.58,13,"Colgate, Unilever"
Nyalunya sublocation,sugar,92,20894.8,9,"Mumias, Nzoia"
Nyamasaria,cooking_oil,92,18314.51,6,"Bidco, Kapa"
Polyview,flour,92,18449.29,5,"Kabras, Unga"
Nanga,soap,88,7981.68,13,"Bidco, Reckitt, Unilever"
Chiga sublocation,flour,86,19305.0,6,"Kabras, Unga"
Gonda,beverages,82,6993.18,6,"Coca-Cola, EABL, Kevian"
Kanyakwar sublocation,beverages,82,5553.72,11,"Coca-Cola, EABL, Kevian"
Kanyakwar sublocation,soap,76,6988.82,14,"Bidco, Reckitt, Unilever"
Korando A sublocation,beverages,74,6443.14,8,"Coca-Cola, EABL, Kevian"
Kasule,sanitary,74,14226.26,11,"Kimberly-Clark, P&G"
k.b.c.,soap,74,6606.7,7,"Bidco, Reckitt, Unilever"
Nyalunya sublocation,personal_care,73,9987.51,11,"Colgate, Unilever"
Nyamasaria,beverages,72,6251.16,8,"Coca-Cola, EABL, Kevian"
Kanyakwar,cooking_oil,72,13470.69,8,"Bidco, Kapa"
Brilliant,sanitary,71,11861.49,10,"Kimberly-Clark, P&G"
Chiga sublocation,cooking_oil,70,13090.14,5,"Bidco, Kapa"
Gonda,soap,70,5771.2,6,"Bidco, Reckitt, Unilever"
Bandari,cooking_oil,70,14196.05,13,"Bidco, Kapa"
Nyangienda,cooking_oil,68,15262.68,5,"Bidco, Kapa"
Kanyakwar,flour,67,14228.24,6,"Kabras, Unga"
Nyamasaria,soap,66,6006.84,8,"Bidco, Reckitt, Unilever"
Korando A sublocation,flour,66,14750.52,5,"Kabras, Unga"
Polyview,beverages,64,5585.400000000001,7,"Coca-Cola, EABL, Kevian"
Polyview,sugar,62,13100.67,4,"Mumias, Nzoia"
Chiga sublocation,soap,62,5391.23,7,"Bidco, Reckitt, Unilever"
Chiga sublocation,sugar,59,13114.31,6,"Mumias, Nzoia"
Kogony' B,sanitary,59,11330.65,14,"Kimberly-Clark, P&G"
Kanyakwar sublocation,personal_care,58,7783.1900000000005,10,"Colgate, Unilever"
Nyangienda,beverages,58,5176.01,6,"Coca-Cola, EABL, Kevian"
Kochieng sublocation,sanitary,56,7926.58,4,"Kimberly-Clark, P&G"
Korando A sublocation,cooking_oil,56,10420.16,4,"Bidco, Kapa"
Chiga sublocation,beverages,55,4629.0199999999995,6,"Coca-Cola, EABL, Kevian"
Nyangienda,soap,54,4925.1900000000005,5,"Bidco, Reckitt, Unilever"
Polyview,soap,54,4624.95,5,"Bidco, Reckitt, Unilever"
Korando A sublocation,sugar,52,12516.6,4,"Mumias, Nzoia"
Nyalenda B,sanitary,52,9870.779999999999,8,"Kimberly-Clark, P&G"
Korando A sublocation,soap,51,4442.49,6,"Bidco, Reckitt, Unilever"
Kogony sublocation,flour,50,10840.78,8,"Kabras, Unga"
Gonda,personal_care,48,6151.68,5,"Colgate, Unilever"
Chiga sublocation,personal_care,47,6353.85,6,"Colgate, Unilever"
Gonda,sugar,47,10149.65,4,"Mumias, Nzoia"
Kogony',cooking_oil,46,8833.460000000001,8,"Bidco, Kapa"
Kanyakwar,beverages,44,3047.54,9,"Coca-Cola, EABL, Kevian"
Nyangienda,sugar,43,9090.38,4,"Mumias, Nzoia"
Kogony',flour,42,9481.92,6,"Kabras, Unga"
Nyalunya sublocation,sanitary,42,8053.42,8,"Kimberly-Clark, P&G"
Bandari,beverages,41,3599.24,16,"Coca-Cola, EABL, Kevian"
Bandari,sugar,40,7946.9,9,"Mumias, Nzoia"
Nanga,sanitary,38,7322.32,6,"Kimberly-Clark, P&G"
Buoye,sanitary,38,6929.5,3,"Kimberly-Clark, P&G"
Nyamasaria,sugar,37,8530.369999999999,3,"Mumias, Nzoia"
Polyview,personal_care,36,4903.5599999999995,5,"Colgate, Unilever"
Bandari,soap,36,3579.79,12,"Bidco, Reckitt, Unilever"
Kanyakwar,soap,36,3419.48,5,"Bidco, Reckitt, Unilever"
k.b.c.,personal_care,36,4606.110000000001,5,"Colgate, Unilever"
Kogony sublocation,cooking_oil,36,7676.179999999999,7,"Bidco, Kapa"
Nyamasaria,personal_care,32,4109.08,5,"Colgate, Unilever"
Bandari,personal_care,31,3920.08,11,"Colgate, Unilever"
Korando A sublocation,personal_care,30,4093.22,4,"Colgate, Unilever"
Kogony',beverages,29,2412.41,8,"Coca-Cola, EABL, Kevian"
Kanyakwar,personal_care,27,3385.29,5,"Colgate, Unilever"
Kogony sublocation,sugar,26,5994.26,4,"Mumias, Nzoia"
Kogony',sugar,26,5865.38,7,"Mumias, Nzoia"
Kanyakwar,sugar,26,5531.5599999999995,5,"Mumias, Nzoia"
Kogony sublocation,beverages,25,1768.81,7,"Coca-Cola, EABL, Kevian"
Nyangienda,personal_care,24,2920.04,5,"Colgate, Unilever"
Gonda,sanitary,24,4980.26,4,"Kimberly-Clark, P&G"
Chiga sublocation,sanitary,22,3429.36,3,"Kimberly-Clark, P&G"
Kogony',soap,21,2143.84,7,"Bidco, Reckitt, Unilever"
Bandari,sanitary,21,4449.62,8,"Kimberly-Clark, P&G"
Korando A sublocation,sanitary,20,4087.84,3,"Kimberly-Clark, P&G"
Polyview,sanitary,18,3617.14,3,"Kimberly-Clark, P&G"
Kogony sublocation,soap,18,1822.98,6,"Bidco, Reckitt, Unilever"
Kogony sublocation,personal_care,18,2365.81,6,"Colgate, Unilever"
k.b.c.,sanitary,16,3028.88,2,"Kimberly-Clark, P&G"
Kogony',personal_care,15,2053.19,5,"Colgate, Unilever"
Kanyakwar sublocation,sanitary,14,3018.4700000000003,6,"Kimberly-Clark, P&G"
Nyangienda,sanitary,14,3145.08,3,"Kimberly-Clark, P&G"
Nyamasaria,sanitary,12,2345.64,2,"Kimberly-Clark, P&G"
Kogony',sanitary,10,2124.2,3,"Kimberly-Clark, P&G"
Kogony sublocation,sanitary,9,1547.62,3,"Kimberly-Clark, P&G"
Kanyakwar,sanitary,9,1600.59,3,"Kimberly-Clark, P&G"
